keyword,cluster,url,search_intent,difficulty
kids worship music youtube,worship,/songs/kids-worship-music-youtube,informational,medium
kids worship music cd,worship,/songs/kids-worship-music-cd,commercial,medium
kids worship music playlist,worship,/songs/kids-worship-music-playlist,informational,low
kids worship music with lyrics,worship,/songs/kids-worship-music-with-lyrics,informational,low
kids worship music with motions,worship,/songs/kids-worship-music-with-motions,informational,low
kids worship music for church,worship,/songs/kids-worship-music-for-church,informational,medium
kids worship music for sunday school,worship,/songs/kids-worship-music-for-sunday-school,informational,medium
kids worship music contemporary,worship,/songs/kids-worship-music-contemporary,informational,low
kids worship music traditional,worship,/songs/kids-worship-music-traditional,informational,low
kids worship music praise songs,worship,/songs/kids-worship-music-praise-songs,informational,medium
kids worship music hymns,worship,/songs/kids-worship-music-hymns,informational,medium
kids worship music for toddlers,worship,/songs/kids-worship-music-for-toddlers,informational,medium
kids worship music for preschoolers,worship,/songs/kids-worship-music-for-preschoolers,informational,medium
kids worship music for elementary,worship,/songs/kids-worship-music-for-elementary,informational,medium
uplifting kids worship music,worship,/songs/uplifting-kids-worship-music,informational,low
joyful kids worship music,worship,/songs/joyful-kids-worship-music,informational,low
peaceful kids worship music,worship,/songs/peaceful-kids-worship-music,informational,low
energetic kids worship music,worship,/songs/energetic-kids-worship-music,informational,low
quiet kids worship music,worship,/songs/quiet-kids-worship-music,informational,low
kids worship music instrumental,worship,/songs/kids-worship-music-instrumental,informational,low
kids worship music acapella,worship,/songs/kids-worship-music-acapella,informational,low
kids worship music with actions,worship,/songs/kids-worship-music-with-actions,informational,low
kids worship music for special needs,worship,/songs/kids-worship-music-for-special-needs,informational,low
kids worship music spanish,worship,/songs/kids-worship-music-spanish,informational,low
multilingual kids worship music,worship,/songs/multilingual-kids-worship-music,informational,low
kids worship music for small groups,worship,/songs/kids-worship-music-for-small-groups,informational,low
kids worship music for home,worship,/songs/kids-worship-music-for-home,informational,low
kids worship music for car,worship,/songs/kids-worship-music-for-car,informational,low
kids worship music for bedtime,worship,/songs/kids-worship-music-for-bedtime,informational,low
sunday school songs for kids,sunday_school,/activities/sunday-school-songs-for-kids,informational,medium
sunday school songs for toddlers,sunday_school,/activities/sunday-school-songs-for-toddlers,informational,medium
sunday school songs for preschoolers,sunday_school,/activities/sunday-school-songs-for-preschoolers,informational,medium
sunday school songs with motions,sunday_school,/activities/sunday-school-songs-with-motions,informational,low
sunday school songs with actions,sunday_school,/activities/sunday-school-songs-with-actions,informational,low
sunday school songs youtube,sunday_school,/activities/sunday-school-songs-youtube,informational,medium
sunday school songs videos,sunday_school,/activities/sunday-school-songs-videos,informational,medium
sunday school songs playlist,sunday_school,/activities/sunday-school-songs-playlist,informational,low
sunday school songs free download,sunday_school,/activities/sunday-school-songs-free-download,commercial,medium
sunday school songs with lyrics,sunday_school,/activities/sunday-school-songs-with-lyrics,informational,low
sunday school opening songs,sunday_school,/activities/sunday-school-opening-songs,informational,medium
sunday school closing songs,sunday_school,/activities/sunday-school-closing-songs,informational,medium
sunday school praise songs,sunday_school,/activities/sunday-school-praise-songs,informational,medium
sunday school worship songs,sunday_school,/activities/sunday-school-worship-songs,informational,medium
sunday school bible songs,sunday_school,/activities/sunday-school-bible-songs,informational,medium
sunday school scripture songs,sunday_school,/activities/sunday-school-scripture-songs,informational,medium
sunday school memory verse songs,sunday_school,/activities/sunday-school-memory-verse-songs,informational,low
sunday school lesson songs,sunday_school,/activities/sunday-school-lesson-songs,informational,low
sunday school seasonal songs,sunday_school,/activities/sunday-school-seasonal-songs,informational,low
sunday school christmas songs,sunday_school,/activities/sunday-school-christmas-songs,informational,medium
sunday school easter songs,sunday_school,/activities/sunday-school-easter-songs,informational,medium
sunday school thanksgiving songs,sunday_school,/activities/sunday-school-thanksgiving-songs,informational,low
sunday school creation songs,sunday_school,/activities/sunday-school-creation-songs,informational,low
sunday school noah songs,sunday_school,/activities/sunday-school-noah-songs,informational,low
sunday school david and goliath songs,sunday_school,/activities/sunday-school-david-and-goliath-songs,informational,low
sunday school jesus songs,sunday_school,/activities/sunday-school-jesus-songs,informational,medium
sunday school god's love songs,sunday_school,/activities/sunday-school-gods-love-songs,informational,low
sunday school friendship songs,sunday_school,/activities/sunday-school-friendship-songs,informational,low
sunday school obedience songs,sunday_school,/activities/sunday-school-obedience-songs,informational,low
sunday school forgiveness songs,sunday_school,/activities/sunday-school-forgiveness-songs,informational,low
vacation bible school songs for kids,vbs,/activities/vacation-bible-school-songs-for-kids,informational,medium
vacation bible school theme songs,vbs,/activities/vacation-bible-school-theme-songs,informational,medium
vacation bible school opening songs,vbs,/activities/vacation-bible-school-opening-songs,informational,low
vacation bible school closing songs,vbs,/activities/vacation-bible-school-closing-songs,informational,low
vacation bible school praise songs,vbs,/activities/vacation-bible-school-praise-songs,informational,medium
vacation bible school worship songs,vbs,/activities/vacation-bible-school-worship-songs,informational,medium
vacation bible school action songs,vbs,/activities/vacation-bible-school-action-songs,informational,low
vacation bible school motion songs,vbs,/activities/vacation-bible-school-motion-songs,informational,low
vacation bible school energy songs,vbs,/activities/vacation-bible-school-energy-songs,informational,low
vacation bible school quiet songs,vbs,/activities/vacation-bible-school-quiet-songs,informational,low
vacation bible school memory verse songs,vbs,/activities/vacation-bible-school-memory-verse-songs,informational,low
vacation bible school bible story songs,vbs,/activities/vacation-bible-school-bible-story-songs,informational,low
vacation bible school game songs,vbs,/activities/vacation-bible-school-game-songs,informational,low
vacation bible school craft songs,vbs,/activities/vacation-bible-school-craft-songs,informational,low
vacation bible school snack songs,vbs,/activities/vacation-bible-school-snack-songs,informational,low
vacation bible school adventure songs,vbs,/activities/vacation-bible-school-adventure-songs,informational,low
vacation bible school jungle theme songs,vbs,/activities/vacation-bible-school-jungle-theme-songs,informational,low
vacation bible school ocean theme songs,vbs,/activities/vacation-bible-school-ocean-theme-songs,informational,low
vacation bible school space theme songs,vbs,/activities/vacation-bible-school-space-theme-songs,informational,low
vacation bible school camping theme songs,vbs,/activities/vacation-bible-school-camping-theme-songs,informational,low
vacation bible school superhero theme songs,vbs,/activities/vacation-bible-school-superhero-theme-songs,informational,low
vacation bible school kingdom theme songs,vbs,/activities/vacation-bible-school-kingdom-theme-songs,informational,low
vacation bible school mission theme songs,vbs,/activities/vacation-bible-school-mission-theme-songs,informational,low
vacation bible school discovery theme songs,vbs,/activities/vacation-bible-school-discovery-theme-songs,informational,low
vbs songs with lyrics,vbs,/activities/vbs-songs-with-lyrics,informational,low
vbs songs youtube,vbs,/activities/vbs-songs-youtube,informational,medium
vbs songs playlist,vbs,/activities/vbs-songs-playlist,informational,low
vbs songs free download,vbs,/activities/vbs-songs-free-download,commercial,medium
preschool christian songs with motions,preschool,/songs/preschool-christian-songs-with-motions,informational,low
preschool christian songs with actions,preschool,/songs/preschool-christian-songs-with-actions,informational,low
preschool christian songs youtube,preschool,/songs/preschool-christian-songs-youtube,informational,medium
preschool christian songs videos,preschool,/songs/preschool-christian-songs-videos,informational,medium
preschool christian songs playlist,preschool,/songs/preschool-christian-songs-playlist,informational,low
preschool christian songs free download,preschool,/songs/preschool-christian-songs-free-download,commercial,medium
preschool christian songs cd,preschool,/songs/preschool-christian-songs-cd,commercial,medium
preschool christian songs simple,preschool,/songs/preschool-christian-songs-simple,informational,medium
preschool christian songs easy,preschool,/songs/preschool-christian-songs-easy,informational,medium
preschool christian songs abc,preschool,/songs/preschool-christian-songs-abc,informational,low
preschool christian songs numbers,preschool,/songs/preschool-christian-songs-numbers,informational,low
preschool christian songs colors,preschool,/songs/preschool-christian-songs-colors,informational,low
preschool christian songs animals,preschool,/songs/preschool-christian-songs-animals,informational,low
preschool christian songs creation,preschool,/songs/preschool-christian-songs-creation,informational,low
preschool christian songs noah,preschool,/songs/preschool-christian-songs-noah,informational,low
preschool christian songs daniel,preschool,/songs/preschool-christian-songs-daniel,informational,low
preschool christian songs jonah,preschool,/songs/preschool-christian-songs-jonah,informational,low
preschool christian songs jesus,preschool,/songs/preschool-christian-songs-jesus,informational,medium
preschool christian songs god's love,preschool,/songs/preschool-christian-songs-gods-love,informational,low
preschool christian songs prayer,preschool,/songs/preschool-christian-songs-prayer,informational,low
preschool christian songs bible,preschool,/songs/preschool-christian-songs-bible,informational,low
preschool christian songs church,preschool,/songs/preschool-christian-songs-church,informational,low
preschool christian songs friends,preschool,/songs/preschool-christian-songs-friends,informational,low
preschool christian songs sharing,preschool,/songs/preschool-christian-songs-sharing,informational,low
preschool christian songs kindness,preschool,/songs/preschool-christian-songs-kindness,informational,low
preschool christian songs obedience,preschool,/songs/preschool-christian-songs-obedience,informational,low
preschool christian songs thanksgiving,preschool,/songs/preschool-christian-songs-thanksgiving,informational,low
preschool christian songs christmas,preschool,/songs/preschool-christian-songs-christmas,informational,medium
preschool christian songs easter,preschool,/songs/preschool-christian-songs-easter,informational,medium
toddler worship songs simple,toddler,/songs/toddler-worship-songs-simple,informational,medium
toddler worship songs easy,toddler,/songs/toddler-worship-songs-easy,informational,medium
toddler worship songs with motions,toddler,/songs/toddler-worship-songs-with-motions,informational,low
toddler worship songs with actions,toddler,/songs/toddler-worship-songs-with-actions,informational,low
toddler worship songs youtube,toddler,/songs/toddler-worship-songs-youtube,informational,medium
toddler worship songs videos,toddler,/songs/toddler-worship-songs-videos,informational,medium
toddler worship songs playlist,toddler,/songs/toddler-worship-songs-playlist,informational,low
toddler worship songs cd,toddler,/songs/toddler-worship-songs-cd,commercial,medium
toddler worship songs church,toddler,/songs/toddler-worship-songs-church,informational,medium
toddler worship songs nursery,toddler,/songs/toddler-worship-songs-nursery,informational,medium
toddler worship songs jesus,toddler,/songs/toddler-worship-songs-jesus,informational,medium
toddler worship songs god,toddler,/songs/toddler-worship-songs-god,informational,medium
toddler worship songs love,toddler,/songs/toddler-worship-songs-love,informational,low
toddler worship songs praise,toddler,/songs/toddler-worship-songs-praise,informational,medium
toddler worship songs thank you,toddler,/songs/toddler-worship-songs-thank-you,informational,low
toddler worship songs clapping,toddler,/songs/toddler-worship-songs-clapping,informational,low
toddler worship songs dancing,toddler,/songs/toddler-worship-songs-dancing,informational,low
toddler worship songs interactive,toddler,/songs/toddler-worship-songs-interactive,informational,low
toddler worship songs repetitive,toddler,/songs/toddler-worship-songs-repetitive,informational,low
toddler worship songs short,toddler,/songs/toddler-worship-songs-short,informational,low
toddler worship songs fun,toddler,/songs/toddler-worship-songs-fun,informational,medium
toddler worship songs gentle,toddler,/songs/toddler-worship-songs-gentle,informational,low
toddler worship songs calm,toddler,/songs/toddler-worship-songs-calm,informational,low
toddler worship songs energetic,toddler,/songs/toddler-worship-songs-energetic,informational,low
toddler worship songs for home,toddler,/songs/toddler-worship-songs-for-home,informational,low
toddler worship songs for car,toddler,/songs/toddler-worship-songs-for-car,informational,low
toddler worship songs free,toddler,/songs/toddler-worship-songs-free,commercial,medium
christian songs for 2 year olds,toddler,/songs/christian-songs-for-2-year-olds,informational,medium
christian songs for 3 year olds,toddler,/songs/christian-songs-for-3-year-olds,informational,medium
children's choir songs christian,choir,/songs/childrens-choir-songs-christian,informational,medium
children's choir songs easy,choir,/songs/childrens-choir-songs-easy,informational,medium
children's choir songs simple,choir,/songs/childrens-choir-songs-simple,informational,medium
children's choir songs two part,choir,/songs/childrens-choir-songs-two-part,informational,low
children's choir songs unison,choir,/songs/childrens-choir-songs-unison,informational,low
children's choir songs with piano,choir,/songs/childrens-choir-songs-with-piano,informational,low
children's choir songs acapella,choir,/songs/childrens-choir-songs-acapella,informational,low
children's choir songs sheet music,choir,/songs/childrens-choir-songs-sheet-music,commercial,medium
children's choir songs free download,choir,/songs/childrens-choir-songs-free-download,commercial,medium
children's choir songs youtube,choir,/songs/childrens-choir-songs-youtube,informational,medium
children's choir songs performance,choir,/songs/childrens-choir-songs-performance,informational,low
children's choir songs concert,choir,/songs/childrens-choir-songs-concert,informational,low
children's choir songs christmas,choir,/songs/childrens-choir-songs-christmas,informational,medium
children's choir songs easter,choir,/songs/childrens-choir-songs-easter,informational,medium
children's choir songs praise,choir,/songs/childrens-choir-songs-praise,informational,medium
children's choir songs worship,choir,/songs/childrens-choir-songs-worship,informational,medium
children's choir songs contemporary,choir,/songs/childrens-choir-songs-contemporary,informational,low
children's choir songs traditional,choir,/songs/childrens-choir-songs-traditional,informational,low
children's choir songs hymns,choir,/songs/childrens-choir-songs-hymns,informational,medium
children's choir songs anthems,choir,/songs/childrens-choir-songs-anthems,informational,low
children's choir songs gospel,choir,/songs/childrens-choir-songs-gospel,informational,medium
children's choir songs spirituals,choir,/songs/childrens-choir-songs-spirituals,informational,low
children's choir songs for church,choir,/songs/childrens-choir-songs-for-church,informational,medium
children's choir songs for school,choir,/songs/childrens-choir-songs-for-school,informational,medium
children's choir songs for competition,choir,/songs/childrens-choir-songs-for-competition,informational,low
children's choir songs for festival,choir,/songs/childrens-choir-songs-for-festival,informational,low
elementary children's choir songs,choir,/songs/elementary-childrens-choir-songs,informational,medium
middle school children's choir songs,choir,/songs/middle-school-childrens-choir-songs,informational,medium
youth choir songs,choir,/songs/youth-choir-songs,informational,medium
christian lullabies for babies,lullabies,/songs/christian-lullabies-for-babies,informational,medium
christian lullabies for toddlers,lullabies,/songs/christian-lullabies-for-toddlers,informational,medium
christian lullabies for kids,lullabies,/songs/christian-lullabies-for-kids,informational,medium
christian lullabies youtube,lullabies,/songs/christian-lullabies-youtube,informational,medium
christian lullabies playlist,lullabies,/songs/christian-lullabies-playlist,informational,low
christian lullabies cd,lullabies,/songs/christian-lullabies-cd,commercial,medium
christian lullabies free download,lullabies,/songs/christian-lullabies-free-download,commercial,medium
christian lullabies instrumental,lullabies,/songs/christian-lullabies-instrumental,informational,low
christian lullabies with lyrics,lullabies,/songs/christian-lullabies-with-lyrics,informational,low
christian lullabies piano,lullabies,/songs/christian-lullabies-piano,informational,low
christian lullabies guitar,lullabies,/songs/christian-lullabies-guitar,informational,low
christian lullabies hymns,lullabies,/songs/christian-lullabies-hymns,informational,medium
christian lullabies contemporary,lullabies,/songs/christian-lullabies-contemporary,informational,low
christian lullabies traditional,lullabies,/songs/christian-lullabies-traditional,informational,low
christian lullabies jesus loves me,lullabies,/songs/christian-lullabies-jesus-loves-me,informational,low
christian lullabies amazing grace,lullabies,/songs/christian-lullabies-amazing-grace,informational,low
christian lullabies jesus loves the little children,lullabies,/songs/christian-lullabies-jesus-loves-the-little-children,informational,low
christian lullabies be thou my vision,lullabies,/songs/christian-lullabies-be-thou-my-vision,informational,low
christian lullabies how great thou art,lullabies,/songs/christian-lullabies-how-great-thou-art,informational,low
christian lullabies blessed assurance,lullabies,/songs/christian-lullabies-blessed-assurance,informational,low
christian lullabies for bedtime,lullabies,/songs/christian-lullabies-for-bedtime,informational,medium
christian lullabies for naptime,lullabies,/songs/christian-lullabies-for-naptime,informational,low
christian lullabies for sleep,lullabies,/songs/christian-lullabies-for-sleep,informational,medium
christian lullabies peaceful,lullabies,/songs/christian-lullabies-peaceful,informational,low
christian lullabies gentle,lullabies,/songs/christian-lullabies-gentle,informational,low
christian lullabies soft,lullabies,/songs/christian-lullabies-soft,informational,low
christian lullabies calming,lullabies,/songs/christian-lullabies-calming,informational,low
christian lullabies soothing,lullabies,/songs/christian-lullabies-soothing,informational,low
praise songs for kids with motions,praise,/songs/praise-songs-for-kids-with-motions,informational,low
praise songs for kids with actions,praise,/songs/praise-songs-for-kids-with-actions,informational,low
praise songs for kids youtube,praise,/songs/praise-songs-for-kids-youtube,informational,medium
praise songs for kids videos,praise,/songs/praise-songs-for-kids-videos,informational,medium
praise songs for kids playlist,praise,/songs/praise-songs-for-kids-playlist,informational,low
praise songs for kids cd,praise,/songs/praise-songs-for-kids-cd,commercial,medium
praise songs for kids church,praise,/songs/praise-songs-for-kids-church,informational,medium
praise songs for kids sunday school,praise,/songs/praise-songs-for-kids-sunday-school,informational,medium
praise songs for kids energetic,praise,/songs/praise-songs-for-kids-energetic,informational,low
praise songs for kids upbeat,praise,/songs/praise-songs-for-kids-upbeat,informational,low
praise songs for kids joyful,praise,/songs/praise-songs-for-kids-joyful,informational,low
praise songs for kids celebration,praise,/songs/praise-songs-for-kids-celebration,informational,low
praise songs for kids thanksgiving,praise,/songs/praise-songs-for-kids-thanksgiving,informational,low
praise songs for kids gratitude,praise,/songs/praise-songs-for-kids-gratitude,informational,low
praise songs for kids god's goodness,praise,/songs/praise-songs-for-kids-gods-goodness,informational,low
praise songs for kids god's love,praise,/songs/praise-songs-for-kids-gods-love,informational,low
praise songs for kids jesus,praise,/songs/praise-songs-for-kids-jesus,informational,medium
praise songs for kids hallelujah,praise,/songs/praise-songs-for-kids-hallelujah,informational,low
praise songs for kids hosanna,praise,/songs/praise-songs-for-kids-hosanna,informational,low
praise songs for kids alleluia,praise,/songs/praise-songs-for-kids-alleluia,informational,low
praise songs for kids worship,praise,/songs/praise-songs-for-kids-worship,informational,medium
praise songs for kids contemporary,praise,/songs/praise-songs-for-kids-contemporary,informational,low
praise songs for kids traditional,praise,/songs/praise-songs-for-kids-traditional,informational,low
praise songs for kids modern,praise,/songs/praise-songs-for-kids-modern,informational,low
praise songs for kids classic,praise,/songs/praise-songs-for-kids-classic,informational,low
praise songs for kids interactive,praise,/songs/praise-songs-for-kids-interactive,informational,low
praise songs for kids participation,praise,/songs/praise-songs-for-kids-participation,informational,low
praise songs for kids clapping,praise,/songs/praise-songs-for-kids-clapping,informational,low
praise songs for kids dancing,praise,/songs/praise-songs-for-kids-dancing,informational,low
bible story songs for kids,bible_stories,/songs/bible-story-songs-for-kids,informational,medium
bible story songs for toddlers,bible_stories,/songs/bible-story-songs-for-toddlers,informational,medium
bible story songs for preschoolers,bible_stories,/songs/bible-story-songs-for-preschoolers,informational,medium
bible story songs youtube,bible_stories,/songs/bible-story-songs-youtube,informational,medium
bible story songs videos,bible_stories,/songs/bible-story-songs-videos,informational,medium
bible story songs playlist,bible_stories,/songs/bible-story-songs-playlist,informational,low
bible story songs cd,bible_stories,/songs/bible-story-songs-cd,commercial,medium
bible story songs with motions,bible_stories,/songs/bible-story-songs-with-motions,informational,low
