Song Number,Song Title,Album,Year,Scripture Reference,Webpage URL,Spotify Link,Description,Publication Date,Duration,Target Age Group,Musical Style,Lyrics
132,The Newborn King,Joyful (original Christmas song),–,(n/a),https://seedskidsworship.com/product/the-newborn-king-2/,https://open.spotify.com/track/1U6BgRgVguDuYawAfnXGM8,Christmas song celebrating the birth of Jesus the newborn King from Luke 2,11-01-2022,3:04,Ages 3-12,Christmas Celebration,"Verse 1:
Hark the herald angels sing
Glory to the Newborn King
Peace on earth and mercy mild
God and sinners reconciled
God and sinners reconciled
Chorus:
Glory to the Newborn King (ohhhh)
Verse 2:
Hark the herald angels sing
Glory to the Newborn King
Peace on earth and mercy mild
God and sinners reconciled
Joyful all ye nations rise
Join the triumph of the skies
With angelic host proclaim
Christ is born in Bethlehem
Christ is born in Bethlehem
Repeat Chorus
Outro:
Glory to the Newborn King (ohhhh)"
112,Silent Night,Joyful (traditional carol),–,(n/a),https://seedskidsworship.com/product/silent-night-2/,https://open.spotify.com/track/4UTjgYnNlw5Bib4WzrM5xR,Gentle traditional Christmas carol arranged for children's worship and reflection,11-01-2022,3:35,Ages 3-12,Christmas Lullaby,"Silent night, holy night
All is calm, all is bright
Round yon virgin mother and child
Holy infant so tender and mild
Sleep in heavenly peace
Sleep in heavenly peace"
28,Citizens Of Heaven,Power,2020,Philippians 3:20–21,https://seedskidsworship.com/product/power/,https://open.spotify.com/track/3W0KdZ13dCpOy7UV9bxooU,A scripture song teaching kids about their heavenly citizenship based on Philippians 3:20-21. Reminds children that this world isn't their home and encourages an eternal perspective while worshiping God through memorizing His Word.,10/16/2020,2:52,All Ages,Scripture Song,"But our citizenship is in heaven  
And from it we await a Savior  
The Lord, the Lord Jesus Christ  
Who will transform our lowly body  
To be like His glorious body  
By the power that enables Him  
Even to subject all things,  
Even to subject all things to Himself  "
77,Immovable,Power,2020,1 Corinthians 15:57–58,https://seedskidsworship.com/product/immovable-1-corinthians-1557-58/,https://open.spotify.com/track/6ZUGow2n6JC46DFYVX3RLA,Steadfast song about being immovable in the work of the Lord from 1 Corinthians 15:57-58,10/16/2020,2:53,All Ages,Steadfast Faith,"Verse:
But thanks be to God
Who gives us the victory
Through our Lord
Jesus Christ
Repeat Verse
Pre-Chorus:
Therefore, my beloved brothers
Be steadfast, immovable
Always abounding
In the work of the Lord
Chorus:
Knowing that in the Lord
Knowing that in the Lord
Your labor is not
Your labor is not
In vain
Repeat Verse
Repeat Pre-Chorus
Repeat Chorus"
95,Not Ashamed,Power,2020,Romans 1:16–17,https://seedskidsworship.com/product/not-ashamed-romans-116-17/,https://open.spotify.com/track/4Bx99NktB81IgK5MiXGVOe,Scripture song based on the first commandment (Exodus 20:1–3) that calls children to worship the one true God above all idols.,10/15/2019,2:52,Ages 3-12,Worship & Obedience,
101,Power,Power,2020,Acts 1:8,https://seedskidsworship.com/product/power-acts-18/,https://open.spotify.com/track/0zUuGomdXdwtYynSEtyIXd,Energetic song about receiving power from the Holy Spirit to be witnesses from Acts 1:8,2020-09-15,3:13,Ages 6-12,Power & Worship,
127,The Light Of Life,Power,2020,John 8:12,https://seedskidsworship.com/product/the-light-of-life-john-812/,https://open.spotify.com/track/2efibMuikRyxto1MUCCr2q,Illuminating song about Jesus as the light of life from John 8:12,09-15-2020,2:31,Ages 5-12,Light & Truth,
140,The Victory,Power,2020,1 John 5:4–5,https://seedskidsworship.com/product/the-victory-1-john-54-5/,https://open.spotify.com/track/0Q4LMFinwEbwnAKJfKoqMH,Triumphant song about victory through faith from 1 John 5:4-5,09-15-2020,3:16,Ages 6-12,Victory & Faith,
153,Walk In Him,Power,2020,Colossians 2:6–7,https://seedskidsworship.com/product/walk-in-him-colossians-26-7/,https://open.spotify.com/track/3IVcAyA2bc2znpQ1D1xD70,Growth song about walking in Christ and being rooted in Him from Colossians 2:6-7,09-15-2020,2:31,Ages 6-12,Growth & Walking,
131,The New Testament Song,see “The Only Way”,2011,(Books of the New Testament),https://seedskidsworship.com/product/the-new-testament-song-skw/,https://open.spotify.com/track/3pYj8DPhRIeN9jehK8hZbx,Educational song teaching the books of the New Testament,04-01-2011,2:33,Ages 6-12,Bible Learning,
26,Children And Fathers,Seeds of Character,2011,Ephesians 6:1–4,https://seedskidsworship.com/product/seeds-of-character/,https://open.spotify.com/track/6atSGBbM09KySpIIySVuri,Family-focused song about children obeying parents and fathers not provoking children but bringing them up in the Lord,08/15/2011,2:46,All Ages,Family & Character,
32,Delight,Seeds of Character,2011,Psalm 1,https://seedskidsworship.com/product/seeds-of-character-vol-6/,https://open.spotify.com/track/3BhToHlQoeapfNJ5BGQbSe,Scripture song based on Psalm 1 exploring biblical character development. Helps children understand living by the Spirit versus the flesh encouraging delight in God's Word and righteous living through engaging worship music.,04/18/2011,2:58,All Ages,Scripture Song,
49,Give Thanks,Seeds of Character,2011,Psalm 105:1–3,https://seedskidsworship.com/product/give-thanks-psalm-1051-3-2/,https://open.spotify.com/track/2kJuNYCYkuYoMtLk7I9liV,"Based on Psalm 105:1-5, this song encourages children to give thanks to the Lord, call on His name, make known His deeds and remember the wonders He has done.",04/18/2011,4:20,Ages 3-12,Thanksgiving & Praise,
88,More Than Conquerors,Seeds of Character,2011,Romans 8:37,https://seedskidsworship.com/product/more-than-conquerors-romans-837/,https://open.spotify.com/track/7lNwK8M6OvANiPkBhFzRFt,Powerful song declaring God as mighty to save and rejoicing over us from Zephaniah 3:17,09/13/2005,2:24,All Ages,Praise & Worship,"We are more, more, more than conquerors  
Through Him that loved us, through Him that loved us  
What can separate us from the love of God  
That is in Christ Jesus  
What can separate us from the love of God  
That is in Christ Jesus  
What can separate us from the love of God  
That is in Christ Jesus  
Nothing, nothing, nothing, nothing "
103,Put On Love,Seeds of Character,2011,"Colossians 3:12, 14a",https://seedskidsworship.com/product/put-on-love-colossians-312-14a-2/,https://open.spotify.com/track/48j05oqGbVU2ROHxH6oiWh,Character-building song about putting on love as the perfect bond of unity from Colossians 3:12&14,2011-04-01,4:43,Ages 4-12,Character & Love,"Chorus A:
For I am not ashamed of the gospel
For it is the power of God
For I am not ashamed of the gospel
For it is the power of God
Chorus A (Big):
For I am not ashamed of the gospel
For it is the power of God
For I am not ashamed of the gospel
For it is the power of God
Chorus B:
For salvation to everyone who believes
To the Jew first and also to the Greek
Drum Line:
I am not ashamed! I am not ashamed!
For the gospel is the power of God to save everyone who believes!
For the gospel is the power of God to save everyone who believes!
Repeat Chorus A (Big)
Repeat Chorus B
Repeat Drum Line x2"
120,Teach Them,Seeds of Character,2011,Deuteronomy 6:4–7,https://seedskidsworship.com/product/teach-them-deuteronomy-64-7/,https://open.spotify.com/track/5Do4YTJqCMos8u9MCkwJDM,Educational song about teaching God's commands to children diligently from Deuteronomy 6:4-7,04-01-2011,4:46,Ages 7-12,Teaching & Family,"Intro:
Teach us well, teach us well, teach us well, teach us well
Verse:
Hear, O Israel
The LORD our God, the LORD is one
You shall love the LORD your God
With all your heart and with all your soul
And with all your might
And these words that I command you today
Shall be on your heart
Chorus:
You shall teach them diligently, diligently
To your children, to your children
And shall talk of them when you sit in your house, sit in your house
And when you walk by the way, and when you lie down and when you rise
And when you walk by the way, and when you lie down and when you rise
Turnaround:
Teach us well, teach us well, teach us well, teach us well
Repeat Verse
Repeat Chorus
Kids Outro:
Love the LORD with all your heart
With all your soul, with all your might"
123,The Character Song,Seeds of Character,2011,Romans 5:1–5,https://seedskidsworship.com/product/the-character-song-romans-51-5-2/,https://open.spotify.com/track/2oRnXmPqfLLkwHvPZlcqgS,Character-building song about developing godly character through trials from Romans 5:1-5,04-01-2011,5:17,Ages 6-12,Character & Growth,"Verse:
Therefore, since we have been justified by faith
We have peace with God through our Lord Jesus Christ
Through Him we have also obtained access by faith
Into this grace in which we stand
And we rejoice in hope of the glory of God
And more than that, we rejoice in our sufferings
Chorus:
Knowing that suffering produces endurance
And endurance produces character
And character produces hope
And hope does not put us to shame
Because God’s love has been poured into our hearts
Through the Holy Spirit who has been given to us
Who has been given to us"
124,The Fruit,Seeds of Character,2011,"Galatians 5:16, 22",https://seedskidsworship.com/product/the-fruit-galatians-516-22-2/,https://open.spotify.com/track/4YkvGHlXCG0MHa1sQDDG0f,Teaching song about the fruit of the Spirit from Galatians 5:16&22,04-01-2011,2:58,Ages 5-12,Fruit of Spirit,"Verse:
But I say walk by the Spirit
And you will not gratify
The desires of the flesh
Repeat Verse
Pre-Chorus:
But the fruit of the Spirit is...
Chorus:
Love, joy, peace, patience, kindness
Goodness, faithfulness, gentleness, self-control
It’s love, joy, peace, patience, kindness
Goodness, faithfulness, gentleness, self-control
Gentleness, self-control — YEAH!
Repeat Verse
Repeat Chorus
Bridge:
Galatians 5:16 & 22
(Repeat 4x)
Repeat Verse
Outro:
Walk by the Spirit
Live by the fruit"
133,The Only Way (Books of the New Testament),Seeds of Character,2011,– (summary of NT books),https://seedskidsworship.com/product/the-new-testament-song/,https://open.spotify.com/track/3pYj8DPhRIeN9jehK8hZbx,Educational song teaching the 27 books of the New Testament,04-01-2011,2:33,Ages 6-12,Bible Learning,"Intro:
The New Testament Song
The New Testament — Come on!
Verse:
Matthew, Mark, Luke and John
Acts, Romans, 2 Corinthians
Galatians, Ephesians, Philippians, Colossians
1st and 2nd Thessalonians
1st Timothy, 2nd Timothy
Titus, Philemon, Hebrews, James
1st Peter, 2nd Peter
1, 2, 3 John, Jude and Revelation
1, 2, 3 John, Jude and Revelation
Chorus:
Hey, hey (hand claps)
He is the truth, the life, the way
He is the truth, the life, the only way
He is the truth, the life, the way
He is the truth, the life, the only way
Turn:
The New Testament Song
Repeat Verse
Repeat Full Chorus
Ending:
The New Testament Song
The New Testament Song

"
134,The Perfect Example,Seeds of Character,2011,John 13:12–17,https://seedskidsworship.com/product/the-perfect-example-john-1312-17-2/,https://open.spotify.com/track/3picgbJoL55U8AwmHZMglS,Teaching song about following Jesus' example of service from John 13:12-17,04-01-2011,5:03,Ages 6-12,Service & Example,"Verse:
When He had washed their feet
And put on His outer garments
And resumed His place, He said to them:
Do you understand what I have done to you?
You call me Teacher and Lord, and you are right
For so I am
Channel:
If I then, your Lord and Teacher, have washed your feet
You also ought to wash one another’s feet
Chorus:
For I have given you an example
That you also should do just as I have done to you
Truly, truly, I say to you
A servant is not greater than his master
Nor is a messenger greater than the one who sent him
Turnaround:
Greater than the one who sent him
Repeat Verse
Repeat Channel
Repeat Chorus
Repeat Turnaround
Solo:
John thirteen twelve through seventeen
Bridge:
He said, if you know these things
Blessed are you if you do them
He said, if you know these things
Blessed are you if you do them
If you know these things
Blessed are you if you do them
If you know these things
Blessed are you if you do them
Breakdown:
If you know these things
Blessed are you if you do them
If you know these things
Blessed are you if you do them
Ending:
If you know these things
Blessed are you if you do them
Blessed are you, blessed are you"
142,The Wages And The Gift,Seeds of Character,2011,Romans 3:23; 6:23,https://seedskidsworship.com/product/the-wages-and-the-gift-romans/,https://open.spotify.com/track/3LWWxrfBDgwfDVoami8lIL,Gospel song contrasting the wages of sin with God's gift of eternal life from Romans 3:23 and 6:23,04-01-2011,3:12,Ages 7-12,Gospel & Salvation,"Verse:
For all have sinned
And fall short of the glory of God
For all have sinned
And fall short of the glory of God
Whoa, whoa
Chorus:
For the wages of sin is death
But the free gift of God is eternal life
For the wages of sin is death
But the free gift of God is eternal life
In Christ Jesus our Lord
In Christ Jesus our Lord
Repeat Verse
Repeat Chorus
Repeat Verse"
126,The Life,Seeds of Character / Seeds of Easter EP,2011,John 14:6; 1 John 5:11–12,https://seedskidsworship.com/product/the-life-john-146-1-john-511/,https://open.spotify.com/track/4aG4KT71Odiuht4pVPJwYc,Gospel song about Jesus as the way the truth and the life from John 14:6 and 1 John 5:11-12,04-01-2011,3:46,Ages 6-12,Gospel & Salvation,"I am the way and the truth and the life  
I am the way and the truth and the life  
No one comes to the Father except through Me  
I am the way and the truth and the life  
I am the way the truth and the life  
No one comes to the Father except through Me  
Except through Me, yeah  
This is the testimony  
That God gave us eternal life  
And this life is in His Son, yeah  
Whoever does not have the Son of God  
Does not have life, ‘cause Jesus said  
This is the testimony  
That God gave us eternal life  
And this life is in His Son, yeah"
22,Call His Name Immanuel,Seeds of Christmas EP,2016,Isaiah 7:14,https://seedskidsworship.com/product/call-his-name-immanuel-isaiah-714/,https://open.spotify.com/track/1f7jIJIJVUNk0fC3byCncw,Powerful Scripture song about Isaiah's prophecy of Immanuel meaning God With Us prophesied 700 years before Christ's birth,12/01/2016,4:01,Ages 3-12,Christmas Scripture Song,"Verse:
Therefore the Lord Himself will give you a sign
Behold, the virgin shall conceive and bear a son
Therefore the Lord Himself will give you a sign
Behold, the virgin shall conceive and bear a son
And shall call His name
And shall call His name
Chorus:
Immanuel, Immanuel
Immanuel, Immanuel
Repeat Verse
Repeat Chorus (2x)
Bridge:
Ba da da bm ba da da da da — God with us
Ba da da bm ba da da da da — God with us
Oh oh — God with us
Final Chorus:
Immanuel, Immanuel
Immanuel, Immanuel
Repeat Final Chorus"
62,God With Us,Seeds of Christmas EP,2016,Matthew 1:18–24,https://seedskidsworship.com/product/god-with-us-matthew-118-24/,https://open.spotify.com/track/2Lbba0sMobaVjWPBh0j4wC,Christmas song celebrating Immanuel God with us from Matthew 1:18-24,12/01/2016,5:34,Ages 3-12,Christmas Scripture Song,"Intro:
God with us. God with us. God with us.
Verse 1:
This is how the birth of Jesus the Messiah came about:
His mother Mary was pledged to be married to Joseph,
But before they came together she was found to be pregnant
Through the Holy Spirit, through the Holy Spirit.
Verse 2:
Because Joseph her husband was faithful to the law
And yet did not want to expose her to public disgrace
He had in mind to divorce her quietly
But after he had considered this
An angel of the Lord appeared to him in a dream and said:
Chorus:
Joseph son of David, do not be afraid
To take Mary home as your wife
Because what is conceived in her is from the Holy Spirit
Joseph son of David, do not be afraid
To take Mary home as your wife
Because what is conceived in her is from the Holy Spirit
And she will give birth to a son
And you are to give him the name...
Channel:
Jesus, Jesus
Because He will save His people from their sins
Jesus, Jesus
Because He will save His people from their sins
Turnaround:
God with us. God with us. God with us.
Verse 3:
All this took place to fulfill
What the Lord had said through the prophet:
The virgin will conceive and give birth to a son
And they will call him Immanuel
Which means “God with us”
When Joseph woke up
He did what the angel of the Lord had commanded him
Repeat Chorus
Repeat Channel
Repeat Turnaround
Tag:
God with us. God with us. God with us. (Immanuel)
God with us. God with us. God with us.
God with us. God with us. God with us.
"
86,Mary’s Song Of Praise,Seeds of Christmas EP,2016,Luke 1:46–50,https://seedskidsworship.com/product/marys-song-of-praise-luke-146-50/,https://open.spotify.com/track/79QH3WGmgIcEZxLrYznnRm,Christmas song featuring Mary's Magnificat of praise from Luke 1:46-50,12/01/2016,2:44,Ages 3-12,Christmas Praise,"Chorus:
My soul magnifies the Lord
And my spirit rejoices in God, my Savior
My soul magnifies the Lord
And my spirit rejoices in God, my Savior
Verse:
For He has looked on the humble estate of His servant
For behold, from now on
All generations will call me blessed
For He who is mighty has done great things for me
And holy is His name
Repeat Chorus
Bridge:
And His mercy is for those who fear Him
From generation to generation
To generation, to generation
Repeat Chorus (Alternate Key)
My soul magnifies the Lord
And my spirit rejoices in God, my Savior
My soul magnifies the Lord
And my spirit rejoices in God, my Savior


"
148,To Us A Child Is Born,Seeds of Christmas EP,2016,Isaiah 9:6; John 3:16,https://seedskidsworship.com/product/to-us-a-child-is-born-isaiah-96-john-316/,https://open.spotify.com/track/591cyUp2Y3MhVssSaNOs2B,Christmas song celebrating the gift of Jesus from Isaiah 9:6 and John 3:16,12-01-2016,4:47,Ages 5-12,Christmas Gift,"Verse:
For to us a child is born
To us a son is given
For to us a child is born
To us a son is given
And the government shall be upon His shoulder
And His name shall be called
Chorus:
Mighty God, Wonderful Counselor
Everlasting Father
Wonderful Counselor, Mighty God
Everlasting Father
Prince of Peace
Prince of Peace
Prince of Peace
Repeat Verse
Repeat Chorus
Bridge:
For God so loved the world
That He gave His only Son, His only Son
That whoever believes in Him
Shall not perish but have eternal life"
147,To The Ends Of The Earth,Seeds of Christmas EP / Joyful,2016,Micah 5:2–5,https://seedskidsworship.com/product/to-the-ends-of-the-earth-micah-52-5/,https://open.spotify.com/track/5yMN5W1W8diTizo3iUGCM9,Christmas song about the ruler from Bethlehem whose greatness reaches to the ends of the earth from Micah 5:2-4,12-01-2016,2:40,Ages 5-12,Christmas Prophecy,"Verse:
But you, O Bethlehem Ephrathah
Who are too little to be among the clans of Judah
From you shall come forth for me
One who is to be ruler in Israel
Whose coming forth is from of old
From ancient days — oh, from ancient days
Therefore He shall give them up
Until the time when she who is in labor has given birth
Then the rest of His brothers shall return
To the people of Israel
Chorus:
And He shall stand and shepherd His flock
In the strength of the LORD
In the majesty of the name of the LORD His God
And they shall dwell secure
For now He shall be great
Turnaround:
To the ends of the earth (whoa)
To the ends of the earth (whoa)
To the ends of the earth (whoa)
Vamp:
Na na na na na na
Na na na na na na — oh
(Sing 2x)
Bridge:
And He shall be their peace
He shall be their peace (He shall be their peace)
He shall be their peace
He shall be their peace (He shall be their peace)
Repeat Turnaround
Final Vamp:
Na na na na na na
Na na na na na na — oh
(To the ends, to the ends of the earth!)
(Sing 3x and end)"
14,Ask Seek Knock,Seeds of Courage,2004,Matthew 7:7–8,https://seedskidsworship.com/product/ask-seek-knock-matthew-77-8-2/,https://open.spotify.com/track/4G1YcxLRZimt8KnDjHYc77,Interactive worship song teaching children Jesus' promise about asking seeking and knocking in prayer,03/09/2004,2:16,All Ages,Scripture Song,"Verse:
Ask and it will be given to you
Seek and you will find
Knock, knock and the door will be opened to you
Repeat Verse
Chorus:
For everyone who asks receives
He who seeks finds
And to him who knocks, the door will be opened
For everyone who asks receives
He who seeks finds
And to him who knocks, the door will be opened
Interlude:
(Instrumental or vocal refrain)
Repeat Verse
Repeat Chorus
Repeat Verse
Outro:
Oh, oh, oh, oh, oh — opened to you"
23,Call To Me,Seeds of Courage,2004,Jeremiah 33:3,https://seedskidsworship.com/product/ask-seek-knock-matthew-77-8-2/,https://open.spotify.com/track/7zbV0YrWmQXqekahDtjx0b,Encouraging song based on God's invitation to call on Him and He will answer with great and unsearchable things,03/09/2004,3:26,All Ages,Scripture Song,"Verse:
Call to me and I will answer you
Call to me and I will answer you
And tell you great and unsearchable things
And tell you great and unsearchable things you do not know
Verse Variations:
Call to me — Jeremiah 33:3
Call to me, yeah
Call to me, yeah, call to me
Repeat Verse
Bridge:
Shout it out now, hallelujah
Shout it out now, hallelujah
Shout it out now, hallelujah
Shout it out now, hallelujah
Tag:
Sha-la-la-la-la-la-la-la
Call to me
Call to me
Repeat Verse
Final Tag:
Call to me
Call to me
Call to me"
30,Convinced,Seeds of Courage,2004,Romans 8:38–39,https://seedskidsworship.com/product/convinced-romans-838-39-3/,https://open.spotify.com/track/1KRcGn6pC6NiecjiHXK2fe,A powerful Scripture song from Romans 8:38-39 declaring God's unshakeable love reminding children that nothing can separate them from Christ's love. Features inspiring cross imagery and impactful contemporary worship style.,03/09/2004,3:18,Ages 3-12,Contemporary Scripture Song,"Verse:
For I am convinced
That neither death nor life
Neither angels nor demons
Neither the present nor the future
Nor any powers
Neither height nor depth
Nor anything else in all creation
Chorus:
Will be able to separate us
From the love of God
That is in Christ Jesus
Will be able to separate us
From the love of God
That is in Christ Jesus our Lord
Repeat Verse
Repeat Chorus

"
31,Crushed,Seeds of Courage,2004,Psalm 34:18,https://seedskidsworship.com/product/crushed-psalm-3418-2/,https://open.spotify.com/track/5gbqtcPvtRX4uWAOzFNxWc,An uplifting Scripture song teaching children that God is close to the brokenhearted and saves those crushed in spirit. Provides comfort and hope through word-for-word Psalm 34:18 verses.,03/09/2004,2:06,Ages 3-12,Scripture Song,"Verse:
The Lord is close to the brokenhearted
And saves those who are crushed in spirit
The Lord is close to the brokenhearted
Psalm 34:18
Chorus:
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
Repeat Verse
Repeat Chorus
Alternate Key Verse:
The Lord is close to the brokenhearted
And saves those who are crushed in spirit
The Lord is close to the brokenhearted
Psalm 34:18
Final Tag:
Yeah, yeah, yeah, yeah
Psalm 34:18"
34,Do Everything in Love,Seeds of Courage,2004,1 Corinthians 16:13–14,https://seedskidsworship.com/product/do-everything-in-love-1-corinthians-1613-14-2/,https://open.spotify.com/track/63KwgBgtq9hR3g48sLfBTw,A contemporary worship song teaching children to do everything in love based on 1 Corinthians 16:13-14. Emphasizes living with love as the foundation for all actions and relationships.,03/09/2004,2:44,Ages 3-12,Contemporary Scripture Song,
35,Do Not Be Anxious,Seeds of Courage,2004,Philippians 4:6–7,https://seedskidsworship.com/product/do-not-be-anxious-philippians-46-7-2/,https://open.spotify.com/track/0J78qXixzJKUIFNC8bZhtb,One of Seeds Family Worship's all-time favorites teaching children to pray instead of worry. Features retro video game aesthetics and word-for-word Philippians 4:6-7 about God's peace.,03/09/2004,3:06,Ages 3-12,Scripture Song,"Verse:
Do not be anxious about anything
But in everything, by prayer and petition
With thanksgiving
Present your requests to God
Repeat Verse
Chorus:
And the peace of God, which transcends all understanding
Will guard your hearts and your minds in Christ Jesus
The peace of God, which transcends all understanding
Will guard your hearts and your minds in Christ Jesus
Repeat Verse
Repeat Chorus
Tag:
Philippians 4:6 and 7
Philippians 4:6 and 7
Repeat Verse

"
36,Do Not Fear,Seeds of Courage,2004,Isaiah 41:10,https://seedskidsworship.com/product/do-not-fear-isaiah-4110-2/,https://open.spotify.com/track/5SuDwGlVL7IlMhKxKW5Bdc,An encouraging Scripture song from Isaiah 41:10 reminding children not to fear because God strengthens and helps them. Perfect for building courage and trust in God's protection.,03/09/2004,2:36,Ages 3-12,Scripture Song,"Verse:
So do not fear, for I am with you
Do not fear, for I am with you
So do not fear, for I am with you
Do not be dismayed, for I am your God
Repeat Verse
Chorus:
I will strengthen you and help you
I will uphold you with my righteous right hand
I will strengthen you and help you
I will uphold you with my righteous right hand
I will strengthen you and help you
I will uphold you with my righteous right hand
I will strengthen you and help you
Isaiah 41:10
Repeat Verse (2x)
Repeat Chorus"
92,Never Be Shaken,Seeds of Courage,2004,Psalm 62:1–2,https://seedskidsworship.com/product/never-be-shaken-psalm-621-2-2/,https://open.spotify.com/track/1kgDv1NfvSts1Dae4dnw80,Joyful song celebrating the transformation of believers into a new creation in Christ (2 Corinthians 5:17) and encouraging kids to live out their new identity.,03/15/2016,3:19,Ages 3-12,New Life & Praise,"Intro:
No, no, no, no
No, no, no, no
Verse:
My soul finds rest in God alone
My soul finds rest in God alone
My soul finds rest in God alone
My salvation comes from Him
Chorus:
He alone is my rock and my salvation
He is my fortress
I will never be shaken
He alone is my rock and my salvation
He is my fortress
I will never be shaken
Never be shaken
Tag:
No, no, no, no
No, no, no, no
Repeat Verse
Repeat Chorus
Repeat Tag"
99,Out of the Mud,Seeds of Courage,2004,Psalm 40:1–2,https://seedskidsworship.com/product/out-of-the-mud-psalm-401-2-3/,https://open.spotify.com/track/27tU0TuMRGzxP7QAd1eaz4,Encouraging song about God lifting us out of trouble and setting our feet on solid ground from Psalm 40:1-2,2004-06-01,2:23,Ages 5-12,Courage & Hope,"Verse:
I waited patiently for the Lord
He turned to me and heard my cry
He lifted me out of the slimy pit
Out of the mud and mire
Chorus:
He set my feet on a rock
Gave me a firm place to stand
He set my feet on a rock
Gave me a firm place to stand
Set my feet on a rock, yeah
And here I am
Repeat Verse
Repeat Chorus
Bridge:
(Instrumental or vocal refrain)
Repeat Verse
Repeat Chorus
Outro:
Here I am
Here I am
Here I am"
104,Refuge and Strength,Seeds of Courage,2004,Psalm 46:1–2,https://seedskidsworship.com/product/refuge-and-strength-psalm-461-2-2/,https://open.spotify.com/track/3x4Zby0XF2eEAeLH7aKdSk,Comforting song declaring God as our refuge and strength in times of trouble from Psalm 46:1-2,2004-06-01,1:50,Ages 5-12,Courage & Comfort,"Verse:
God is our refuge and strength
An ever-present help in trouble
Refuge and strength
An ever-present help in trouble
Therefore we will not fear
Though the earth give way
And the mountains fall
Into the heart of the sea
Repeat Verse
Final Chorus:
God is our refuge and strength
An ever-present help in trouble
Refuge and strength
An ever-present help in trouble
In trouble"
125,The Good Song,Seeds of Courage,2004,Psalm 34:10,https://seedskidsworship.com/product/the-good-song-psalm-3410-2/,https://open.spotify.com/track/1bwozx6L9SQSk5Ux1ETXi8,Encouraging song about God's goodness to those who seek Him from Psalm 34:10,06-01-2004,1:49,Ages 4-10,Encouragement & Hope,"Verse:
The lions may grow weak and hungry
The lions may grow weak and hungry
The lions may grow weak and hungry
But those who seek the Lord lack no good thing
Repeat Verse
Chorus:
All things work together for the good of those who love the Lord
Yes, all things work together for the good of those who love the Lord
All things work together for the good of... yeahh!"
160,Worthy is the Lamb,Seeds of Easter EP,2016,Revelation 5:12,https://seedskidsworship.com/product/worthy-is-the-lamb-revelation-512/,https://open.spotify.com/track/4LQPrYjkwIv6lEuDUECBvS,Easter song of praise declaring the Lamb worthy of power and honor from Revelation 5:12,04-01-2016,4:02,Ages 6-12,Easter Praise,"Verse:
For God so loved the world
That He gave His one and only Son
God so loved the world
That He gave His one and only Son
Chorus:
That whoever believes in Him
Shall not perish but have eternal life
That whoever believes in Him
Shall not perish but have eternal life
Repeat Verse
Repeat Chorus (2x)
Tag:
God so loved the world
That He gave His one and only Son
(Repeat Tag 2x)

"
24,Carry It On,Seeds of Faith,2004,Philippians 1:6,https://seedskidsworship.com/product/ask-seek-knock-matthew-77-8-2/,https://open.spotify.com/track/2YsVjHpIXh76oqCFouUPXz,Faith-building song about God's promise to complete the good work He began in us until the day of Christ Jesus,03/09/2004,2:32,All Ages,Faith & Perseverance,"Being confident of this  
That he who began a good work in you  
Will carry it on to completion  
Until the day of Christ Jesus  
Carry it on, carry it on  
He who began a good work in you  
Will carry it on to completion  
Until the day of Christ Jesus  "
41,Eternal Life,Seeds of Faith,2004,John 3:16,https://seedskidsworship.com/product/eternal-life-john-316-3/,https://open.spotify.com/track/3gWT8gVKwznI0LlvOLerwv,"Based on John 3:16, this song celebrates the gospel by reminding children that God loved the world so much that He gave His only Son, so that whoever believes in Him will have eternal life.",03/09/2004,3:01,Ages 3-12,Gospel Message,"Verse:
For God so loved the world
That He gave His one and only Son
God so loved the world
That He gave His one and only Son
Chorus:
That whoever believes in Him
Shall not perish but have eternal life
That whoever believes in Him
Shall not perish but have eternal life
Repeat Verse
Repeat Chorus (2x)
Tag:
God so loved the world
That He gave His one and only Son
(Repeat Tag 2x)

"
63,Grace (La-De-Da),Seeds of Faith,2004,Ephesians 2:8,https://seedskidsworship.com/product/grace-la-de-da-ephesians-28/,https://open.spotify.com/track/2KcGjrSbZoB2k573bAYhAC,Joyful song teaching children about salvation by grace through faith from Ephesians 2:8,03/09/2004,3:06,All Ages,Joyful Scripture Song,"Verse:
For it is by grace you have been saved
Through faith
And this not from yourselves
It is the gift of God
It is the gift of God
Repeat Verse
Chorus:
La-de-da, la-de-da
Oh, not from yourselves
It is the gift of God
It is the gift of God
La-de-da
Repeat Chorus
Repeat Verse (2x)
Repeat Chorus (2x)"
93,No Greater Love (Remain in Me),Seeds of Faith,2004,John 15:13–14,https://seedskidsworship.com/product/no-greater-love-remain-in-me-john-1513-14-2/,https://open.spotify.com/track/37BxMmqTsrckjC6tNLjDkk,Upbeat scripture song from Psalm 62:1–2 reminding us to trust in God’s steadfast love and not be shaken.,01/01/2004,3:23,Ages 3-12,Hope & Confidence,"Verse 1:
Greater love has no one than this
That he lay down his life for his friends
And you are my friends
If you do what I command
Chorus:
Remain in me
Remain in me
Remain in me
And I will remain in you
Verse 2:
You did not choose me, but I chose you
And appointed you to go and bear fruit
Fruit that will last
This is my command
Repeat Chorus
Repeat Verse 1
Repeat Chorus
Outro:
(Repeat and fade)
Remain in me...
And I will remain in you...
"
